variable_name,role,feature_family,used_in_current_frozen_pipeline,source_location,notes
base_excess_art_median,shared_primary,blood_gas_acid_base,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table and retained by current baseline feature selection.
base_excess_art_min,shared_primary,blood_gas_acid_base,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
base_excess_art_obs_count,shared_primary,blood_gas_acid_base,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
bicarbonate_art_last,shared_primary,blood_gas_acid_base,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
bicarbonate_art_max,shared_primary,blood_gas_acid_base,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
bicarbonate_art_mean,shared_primary,blood_gas_acid_base,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
bicarbonate_art_median,shared_primary,blood_gas_acid_base,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table and retained by current baseline feature selection.
bicarbonate_art_min,shared_primary,blood_gas_acid_base,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
bicarbonate_art_obs_count,shared_primary,blood_gas_acid_base,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
bilirubin_total_last,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
bilirubin_total_max,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
bilirubin_total_mean,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
bilirubin_total_median,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table and retained by current baseline feature selection.
bilirubin_total_min,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
bilirubin_total_obs_count,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
core_temp_last,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
core_temp_max,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
core_temp_mean,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
core_temp_median,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table and retained by current baseline feature selection.
core_temp_min,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
core_temp_obs_count,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
creatinine_last,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
creatinine_max,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
creatinine_mean,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
creatinine_median,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table and retained by current baseline feature selection.
creatinine_min,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
creatinine_obs_count,shared_primary,slower_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
crp_last,shared_primary,standard_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
crp_max,shared_primary,standard_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
crp_mean,shared_primary,standard_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
crp_median,shared_primary,standard_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table and retained by current baseline feature selection.
crp_min,shared_primary,standard_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
crp_obs_count,shared_primary,standard_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
dbp_last,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
dbp_max,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
dbp_mean,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
dbp_median,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table and retained by current baseline feature selection.
dbp_min,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
dbp_obs_count,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
etco2_last,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
etco2_max,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
etco2_mean,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
etco2_median,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table and retained by current baseline feature selection.
etco2_min,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
etco2_obs_count,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
fio2_last,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
fio2_max,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
fio2_mean,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
fio2_median,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table and retained by current baseline feature selection.
fio2_min,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
fio2_obs_count,shared_primary,ventilator_variables,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
heart_rate_last,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
heart_rate_max,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
heart_rate_mean,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
heart_rate_median,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table and retained by current baseline feature selection.
heart_rate_min,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
heart_rate_obs_count,shared_primary,fast_bedside_physiology,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
hematocrit_last,shared_primary,standard_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
hematocrit_max,shared_primary,standard_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
hematocrit_mean,shared_primary,standard_labs,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Shared primary derived feature; present in primary model-ready table but excluded by the current medians-only baseline selector.
